net,length_um
conv_accelerator_inst.cb_q\[7\],309.22µm
_012860_,309.2µm
net38827,309.18µm
net7970,309.16µm
net43100,309.03µm
net47396,309.005µm
net42539,309µm
net2317,308.97µm
net10925,308.95µm
net7116,308.92µm
net9950,308.91µm
net36945,308.855µm
net48717,308.62µm
net10306,308.55µm
_019925_,308.48µm
net46303,308.47µm
net46856,308.47µm
net39618,308.42µm
net47771,308.36µm
net6677,308.32µm
net30990,308.32µm
net36379,308.295µm
net42062,308.27µm
net6730,308.265µm
net11328,308.19µm
_021130_,308.18µm
_025452_,308.12µm
net10874,308.065µm
net40700,308.04µm
cpu_inst.CORE.core_i.ex_stage_i.mult_i.int_op_a_msu\[28\],307.98µm
net45562,307.915µm
net11705,307.77µm
net47962,307.73µm
net33581,307.72µm
net9407,307.64µm
net31442,307.62µm
net31736,307.55µm
net7224,307.38µm
net48937,307.37µm
net45263,307.24µm
net47098,307.08µm
net34237,307.06µm
net43900,307µm
net33709,306.97µm
net40078,306.97µm
net39669,306.96µm
net28139,306.92µm
net48697,306.835µm
net42085,306.75µm
net38604,306.72µm
_021053_,306.71µm
net45181,306.65µm
net40583,306.64µm
net44928,306.64µm
net47784,306.64µm
net39917,306.61µm
net43730,306.46µm
net17765,306.38µm
net38346,306.28µm
net48713,306.25µm
net42782,306.13µm
net44336,306.12µm
net48236,306.06µm
net48778,306.04µm
net9075,305.98µm
net47772,305.97µm
net12762,305.94µm
_009151_,305.925µm
net35070,305.88µm
net11512,305.86µm
net39251,305.86µm
net8173,305.85µm
net6707,305.83µm
net6646,305.76µm
net39287,305.73µm
net2462,305.68µm
net37982,305.66µm
net36425,305.58µm
_020986_,305.56µm
net38847,305.555µm
net39346,305.525µm
net42528,305.5µm
net36826,305.46µm
net39110,305.415µm
net62454,305.4µm
net41187,305.36µm
net39331,305.32µm
clknet_4_6_0_clk_i_regs,305.31µm
net11484,305.3µm
net31446,305.28µm
net49554,305.28µm
net41032,305.26µm
net39203,305.23µm
net36149,305.195µm
net9920,305.19µm
net40894,305.19µm
net37508,305.09µm
net37878,305.09µm
net47363,305.08µm
net41934,304.97µm
_028856_,304.96µm
net32761,304.96µm
net31959,304.94µm
net7132,304.93µm
net36051,304.925µm
net9092,304.86µm
net45949,304.85µm
net40071,304.755µm
net7068,304.68µm
net7873,304.58µm
net43471,304.46µm
net12663,304.45µm
net48217,304.44µm
net34325,304.42µm
net4835,304.4µm
net45637,304.4µm
net41496,304.38µm
net39676,304.365µm
net40196,304.36µm
net11108,304.31µm
net7028,304.225µm
net45705,304.22µm
net31289,304.12µm
net44261,304.08µm
net7972,304.07µm
net41982,304.07µm
net36262,304.06µm
net12191,304.03µm
_017470_,304.02µm
_023572_,304µm
net48938,303.98µm
net48090,303.975µm
net39920,303.96µm
net46510,303.955µm
net34711,303.92µm
_017478_,303.91µm
net41272,303.895µm
net31696,303.89µm
net43988,303.81µm
net10264,303.75µm
net47266,303.74µm
net45695,303.72µm
net44152,303.705µm
net44970,303.65µm
_022089_,303.64µm
net39720,303.58µm
net44257,303.54µm
net42052,303.53µm
net49424,303.5µm
net41769,303.47µm
